Time,Hips.X,Hips.Y,Hips.Z,Spine.X,Spine.Y,Spine.Z,Spine1.X,Spine1.Y,Spine1.Z,RightShoulder.X,RightShoulder.Y,RightShoulder.Z,RightArm.X,RightArm.Y,RightArm.Z,RightForeArm.X,RightForeArm.Y,RightForeArm.Z,RightHand.X,RightHand.Y,RightHand.Z,RightHandEnd.X,RightHandEnd.Y,RightHandEnd.Z,RightHandThumb.X,RightHandThumb.Y,RightHandThumb.Z,RightHandThumbEnd.X,RightHandThumbEnd.Y,RightHandThumbEnd.Z,LeftShoulder.X,LeftShoulder.Y,LeftShoulder.Z,LeftArm.X,LeftArm.Y,LeftArm.Z,LeftForeArm.X,LeftForeArm.Y,LeftForeArm.Z,LeftHand.X,LeftHand.Y,LeftHand.Z,LeftHandEnd.X,LeftHandEnd.Y,LeftHandEnd.Z,LeftHandThumb.X,LeftHandThumb.Y,LeftHandThumb.Z,LeftHandThumbEnd.X,LeftHandThumbEnd.Y,LeftHandThumbEnd.Z,Neck.X,Neck.Y,Neck.Z,Head.X,Head.Y,Head.Z,HeadEnd.X,HeadEnd.Y,HeadEnd.Z,RightUpLeg.X,RightUpLeg.Y,RightUpLeg.Z,RightLeg.X,RightLeg.Y,RightLeg.Z,RightFoot.X,RightFoot.Y,RightFoot.Z,RightToeBase.X,RightToeBase.Y,RightToeBase.Z,RightToeBaseEnd.X,RightToeBaseEnd.Y,RightToeBaseEnd.Z,LeftUpLeg.X,LeftUpLeg.Y,LeftUpLeg.Z,LeftLeg.X,LeftLeg.Y,LeftLeg.Z,LeftFoot.X,LeftFoot.Y,LeftFoot.Z,LeftToeBase.X,LeftToeBase.Y,LeftToeBase.Z,LeftToeBaseEnd.X,LeftToeBaseEnd.Y,LeftToeBaseEnd.Z
0.0,175.4297,-84.6676,177.038,-3.5592,1.4173,-1.2928,11.0662,-0.2455,-0.0881,15.1977,-18.6264,5.0436,-4.8805,40.8794,75.0516,-0.0001,18.85,0.0,-25.0333,-4.3253,11.7048,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,19.9245,11.7831,-5.5731,-19.4988,-44.0702,-67.9855,-0.0001,-20.166,-0.0,-8.4736,-0.3615,-13.6991,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,2.6553,3.6753,-6.2616,-0.3494,-0.7262,6.4546,0.0,0.0,0.0,-28.0066,-1.4743,-4.3211,48.3675,-0.0,0.0,-17.5855,0.1341,-2.136,1.7613,0.0,-0.0,0.0,0.0,0.0,5.1641,0.0637,-1.4733,6.4424,0.0,-0.0,-16.956,-10.0679,-4.6103,6.7406,-0.0,0.0,0.0,0.0,0.0
0.008333,174.997,-84.6541,176.5895,-3.4722,1.3513,-1.2767,10.9265,-0.3082,-0.0704,15.2952,-18.5362,5.069,-4.5218,41.0606,74.9767,-0.0001,18.7719,0.0,-25.006,-4.3552,11.5977,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,19.9168,11.6404,-5.5711,-19.3301,-43.9303,-67.442,-0.0001,-20.8252,-0.0,-8.3081,-0.2366,-13.53,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,2.5597,3.7264,-6.2132,-0.7205,-0.6469,6.4098,0.0,0.0,0.0,-27.9866,-1.285,-4.2945,45.3517,0.0,0.0,-17.1192,0.1951,-1.9741,1.5603,-0.0,-0.0,0.0,0.0,0.0,5.6218,0.0297,-1.4365,6.4262,0.0,-0.0,-17.2901,-9.9709,-4.5624,6.6165,0.0,0.0,0.0,0.0,0.0
0.016666,173.0126,-84.6776,174.368,-3.6199,1.3072,-1.149,11.0366,-0.3246,0.1288,15.1219,-18.653,4.9995,-4.1907,41.1527,75.0093,-0.0001,18.7112,0.0,-24.8054,-4.5402,11.6648,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,20.053,11.6689,-5.7305,-19.5875,-44.456,-66.9231,-0.0001,-21.043,-0.0,-8.3474,-0.4246,-13.4586,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,2.3337,3.557,-6.218,-1.2426,-0.4799,6.3213,0.0,0.0,0.0,-27.9726,-1.2656,-4.0566,42.0508,-0.0,0.0,-16.4097,0.2097,-1.679,1.673,-0.0,-0.0,0.0,0.0,0.0,5.8776,0.0375,-1.1273,6.5281,0.0,0.0,-17.7538,-9.9457,-4.6634,6.3321,0.0,0.0,0.0,0.0,0.0
0.024999,172.588,-84.6755,173.9386,-3.5473,1.2543,-1.1442,10.8955,-0.3715,0.1549,15.3083,-18.5965,5.0467,-3.9317,41.3466,74.9071,-0.0001,18.611,0.0,-24.7056,-4.5418,11.7657,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,19.8923,11.5727,-5.6268,-19.3543,-44.4268,-66.5231,-0.0001,-21.5317,-0.0,-8.1971,-0.3537,-13.3443,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,2.2793,3.5552,-6.185,-1.7404,-0.4363,6.3038,0.0,0.0,0.0,-27.7404,-1.2695,-4.1183,38.4299,-0.0,0.0,-15.5232,0.4279,-1.4872,1.9751,-0.0,0.0,0.0,0.0,0.0,6.3033,-0.0485,-1.1039,6.594,-0.0,0.0,-18.096,-9.8274,-4.4252,6.0131,-0.0,-0.0,0.0,0.0,0.0
0.033332,172.0031,-84.6758,173.3296,-3.5516,1.2249,-1.0914,10.892,-0.3961,0.1949,15.3787,-18.5805,5.078,-3.6362,41.5263,74.7793,-0.0001,18.5782,0.0,-24.7083,-4.7074,11.7127,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,19.9281,11.3932,-5.6737,-19.2855,-44.4755,-65.9763,-0.0001,-21.9975,-0.0,-9.1746,-0.4382,-13.3593,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,2.2301,3.4924,-6.2414,-2.4311,-0.4135,6.3418,0.0,0.0,0.0,-27.424,-1.222,-4.1789,34.7706,0.0,0.0,-14.3068,0.7043,-0.7345,1.9838,0.0,0.0,0.0,0.0,0.0,6.662,-0.2169,-1.079,6.777,0.0,-0.0,-18.4658,-9.6241,-4.2446,5.8217,-0.0,0.0,0.0,0.0,0.0
0.041665,170.5479,-84.7002,171.7597,-3.7181,1.2118,-1.0053,11.1201,-0.3964,0.3018,15.1388,-18.719,4.9706,-3.3705,41.6972,74.8547,-0.0001,18.4114,0.0,-24.2952,-4.6905,11.8224,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,19.9281,11.4127,-5.739,-19.4262,-45.0688,-65.4914,-0.0001,-22.1516,-0.0,-9.0059,-0.5151,-13.3398,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,1.8532,3.4134,-6.2324,-2.842,-0.3977,6.2604,0.0,0.0,0.0,-27.0686,-1.2373,-4.146,30.9113,0.0,0.0,-12.8927,1.0463,0.1334,2.3078,0.0,-0.0,0.0,0.0,0.0,6.9457,-0.3057,-0.9181,6.9645,-0.0,0.0,-18.9106,-9.5175,-4.1559,5.6594,0.0,0.0,0.0,0.0,0.0
0.049998,170.0372,-84.6874,171.2466,-3.6435,1.1901,-0.9838,10.9381,-0.4109,0.3336,15.3768,-18.6686,4.9984,-3.1869,41.8029,74.751,-0.0001,18.3909,0.0,-24.0936,-4.8244,11.8475,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,19.8137,11.368,-5.6327,-19.3956,-45.0525,-65.2919,-0.0001,-22.414,-0.0,-8.4212,-0.4767,-13.4745,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.9189,3.2966,-6.2321,-3.6667,-0.3539,6.2086,0.0,0.0,0.0,-26.5864,-1.1853,-4.2457,26.9732,0.0,-0.0,-11.2432,1.5748,1.3004,2.4758,0.0,0.0,0.0,0.0,0.0,7.3242,-0.4284,-0.9088,7.1467,-0.0,0.0,-19.2997,-9.3181,-3.8914,5.4712,-0.0,-0.0,0.0,0.0,0.0
0.058331,169.2383,-84.7208,170.4318,-3.6712,1.173,-0.9343,10.9373,-0.4242,0.3691,15.4826,-18.6509,5.0547,-2.9132,41.9438,74.5656,-0.0001,18.4312,0.0,-24.1934,-4.8871,11.8648,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,19.8823,11.1807,-5.6557,-19.4115,-45.1582,-64.8203,-0.0001,-22.7201,-0.0,-8.3282,-0.4291,-13.4576,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.8846,3.151,-6.2583,-4.4872,-0.3471,6.1757,0.0,0.0,0.0,-26.0353,-1.2322,-4.3634,22.9165,-0.0,0.0,-9.2239,2.307,1.8852,1.9996,0.0,0.0,0.0,0.0,0.0,7.6408,-0.5846,-0.8785,7.4169,0.0,-0.0,-19.691,-9.1171,-3.7118,5.2658,-0.0,0.0,0.0,0.0,0.0
0.066664,168.3277,-84.7593,169.5067,-3.7276,1.1761,-0.8854,10.9715,-0.4178,0.4029,15.4819,-18.678,5.0524,-2.6465,42.0327,74.479,-0.0001,18.4069,0.0,-24.167,-4.9147,11.9644,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,19.8715,11.0809,-5.6478,-19.4545,-45.4029,-64.4412,-0.0001,-22.8954,-0.0,-8.3881,-0.4197,-13.4789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7675,3.0034,-6.2845,-5.2284,-0.3805,6.1321,0.0,0.0,0.0,-25.4547,-1.3101,-4.4815,18.8962,-0.0,0.0,-7.3749,3.0897,2.7799,2.0599,0.0,-0.0,0.0,0.0,0.0,7.9785,-0.6878,-0.8344,7.6532,-0.0,0.0,-20.1473,-8.9746,-3.4507,5.3742,-0.0,0.0,0.0,0.0,0.0
0.07499700000000001,167.2819,-84.807,168.446,-3.7978,1.1819,-0.8405,11.0285,-0.4094,0.4336,15.5011,-18.6818,5.0721,-2.4339,42.0856,74.3873,-0.0001,18.3671,0.0,-24.0599,-4.9796,12.1151,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,19.838,10.9985,-5.6578,-19.4901,-45.6756,-64.0586,-0.0001,-23.0411,-0.0,-8.4002,-0.4385,-13.4615,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,1.6252,2.8342,-6.2888,-5.9972,-0.4161,6.0873,0.0,0.0,0.0,-24.8661,-1.4462,-4.5871,14.9911,-0.0,0.0,-5.7544,3.8138,3.5279,2.2073,0.0,0.0,0.0,0.0,0.0,8.2801,-0.7028,-0.7828,7.9443,-0.0,0.0,-20.536,-8.9245,-3.158,5.15,0.0,-0.0,0.0,0.0,0.0
